coverage_16_84_mean,coverage_rho,coverage_vp,coverage_vs,euler_steps,method,n,noise_sigma_km_s,posterior_samples,posterior_std_mean,posterior_std_vs,pred_disp_mae,pred_disp_rmse,rho_mae,rho_rmse,temperature_scale_68,test_set,vp_mae,vp_rmse,vs_mae,vs_rmse
0.6375249226888021,0.6254997253417969,0.6258506774902344,0.661224365234375,24,DI-Strong,1024,0.0,64,0.14859361946582794,0.09827162325382233,0.029322702437639236,0.11506510525941849,0.07892407476902008,0.10852827876806259,1.0991517901420593,in-prior,0.23416073620319366,0.32855653762817383,0.08562585711479187,0.1410330981016159
0.5413564046223959,0.5582046508789062,0.5591964721679688,0.5066680908203125,24,DI-Strong,1024,0.02,64,0.15616419911384583,0.1026773527264595,0.04551296308636665,0.12527203559875488,0.09912481904029846,0.1367531567811966,1.3708087801933289,in-prior,0.2921220362186432,0.41142064332962036,0.12303126603364944,0.1907021850347519
0.4652442932128906,0.48801422119140625,0.4895973205566406,0.418121337890625,24,DI-Strong,1024,0.05,64,0.164184108376503,0.1071958988904953,0.0832040011882782,0.1625906229019165,0.12544138729572296,0.17272046208381653,1.6641811730805784,in-prior,0.3635282814502716,0.5069959163665771,0.16098210215568542,0.24012863636016846
0.3941904703776042,0.4127311706542969,0.4177703857421875,0.3520698547363281,24,DI-Strong,1024,0.1,64,0.1742228865623474,0.11305354535579681,0.14741460978984833,0.23324435949325562,0.1584978848695755,0.2122168391942978,2.018852353328839,in-prior,0.4491707980632782,0.6065665483474731,0.19893275201320648,0.28486037254333496
0.23636627197265625,0.23864364624023438,0.21825790405273438,0.252197265625,24,DI-Strong,1024,0.0,64,0.18732976913452148,0.14275184273719788,0.2772047817707062,0.40258103609085083,0.22463743388652802,0.280852735042572,3.204208731651306,boundary,0.8329612612724304,1.046150803565979,0.3728782832622528,0.4889732897281647
0.23469034830729166,0.239654541015625,0.22055816650390625,0.24385833740234375,24,DI-Strong,1024,0.02,64,0.18794162571430206,0.14329174160957336,0.27741479873657227,0.4025822877883911,0.2255660891532898,0.28192776441574097,3.226494908798486,boundary,0.8357017636299133,1.0487422943115234,0.3748544752597809,0.48999667167663574
0.22429275512695312,0.2305145263671875,0.21067047119140625,0.23169326782226562,24,DI-Strong,1024,0.05,64,0.19025789201259613,0.14463703334331512,0.2841668128967285,0.40739551186561584,0.2301481068134308,0.28563135862350464,3.2443672427907586,boundary,0.8497705459594727,1.0596853494644165,0.38270190358161926,0.49542734026908875
0.2101287841796875,0.21756362915039062,0.20093154907226562,0.21189117431640625,24,DI-Strong,1024,0.1,64,0.19467847049236298,0.1470034420490265,0.3025500178337097,0.42678800225257874,0.24123404920101166,0.2952789068222046,3.379795432963874,boundary,0.8821092247962952,1.085115909576416,0.39893481135368347,0.5072550177574158
0.13576634724934897,0.1405792236328125,0.13366317749023438,0.133056640625,24,DI-Strong,1024,0.0,64,0.2387964129447937,0.1859615296125412,0.3324865996837616,0.5436265468597412,0.4017132818698883,0.4742506444454193,4.591517211520113,out-of-prior,1.5762358903884888,1.892065405845642,0.7811050415039062,0.9542864561080933
0.13529459635416666,0.1412200927734375,0.13405609130859375,0.13060760498046875,24,DI-Strong,1024,0.02,64,0.23845301568508148,0.1858050525188446,0.33491581678390503,0.5487755537033081,0.40296944975852966,0.4755736291408539,4.574680090765469,out-of-prior,1.580076813697815,1.8962763547897339,0.7822288274765015,0.9551803469657898
0.13230133056640625,0.1373138427734375,0.13078689575195312,0.12880325317382812,24,DI-Strong,1024,0.05,64,0.23995248973369598,0.18683591485023499,0.33803117275238037,0.5499494671821594,0.4048975706100464,0.47674882411956787,4.555262804904487,out-of-prior,1.5859142541885376,1.8990428447723389,0.7847068905830383,0.956440806388855
0.1224822998046875,0.1261749267578125,0.12117385864257812,0.12009811401367188,24,DI-Strong,1024,0.1,64,0.24152140319347382,0.18765531480312347,0.3522379994392395,0.5602603554725647,0.41062861680984497,0.47982463240623474,4.598926306818612,out-of-prior,1.6037304401397705,1.9083242416381836,0.7915412783622742,0.9596836566925049
0.5766309102376302,0.3625526428222656,0.5799942016601562,0.7873458862304688,24,DI-Weak,1024,0.0,64,0.2068040370941162,0.20197229087352753,0.049356479197740555,0.1301489770412445,0.15009573101997375,0.19690921902656555,1.3360820417292416,in-prior,0.33303913474082947,0.47337862849235535,0.13306866586208344,0.20955942571163177
0.5103747049967448,0.3282051086425781,0.5310630798339844,0.6718559265136719,24,DI-Weak,1024,0.02,64,0.21342740952968597,0.20812073349952698,0.060602132230997086,0.13070113956928253,0.16331727802753448,0.21066546440124512,1.571397483581677,in-prior,0.38981643319129944,0.5480060577392578,0.17773376405239105,0.2634635269641876
0.4605573018391927,0.3051719665527344,0.49423980712890625,0.5822601318359375,24,DI-Weak,1024,0.05,64,0.2262589931488037,0.21977034211158752,0.09601210802793503,0.16026663780212402,0.1797753870487213,0.22953452169895172,1.7355265023652464,in-prior,0.46156391501426697,0.6431491374969482,0.23076282441616058,0.3304806351661682
0.40503565470377606,0.2868309020996094,0.4446258544921875,0.48365020751953125,24,DI-Weak,1024,0.1,64,0.24507416784763336,0.2368624061346054,0.159844309091568,0.22747619450092316,0.20121683180332184,0.25369828939437866,2.0532184846233577,in-prior,0.5593445301055908,0.7538080215454102,0.2989157736301422,0.4021669030189514
0.4865061442057292,0.4556427001953125,0.4612083435058594,0.5426673889160156,24,DI-Weak,1024,0.0,64,0.15818913280963898,0.15213802456855774,0.09996045380830765,0.17160966992378235,0.08825070410966873,0.12631016969680786,1.7364737391471863,boundary,0.3386051058769226,0.47058871388435364,0.17068256437778473,0.24447758495807648
0.46784210205078125,0.4411964416503906,0.4447784423828125,0.5175514221191406,24,DI-Weak,1024,0.02,64,0.16001608967781067,0.15391360223293304,0.10329686105251312,0.17406587302684784,0.09103076905012131,0.1293656826019287,1.7764723899308592,boundary,0.3487626016139984,0.47948986291885376,0.17837674915790558,0.25116971135139465
0.44126001993815106,0.42211151123046875,0.4224205017089844,0.479248046875,24,DI-Weak,1024,0.05,64,0.1656513810157776,0.1590757519006729,0.11596595495939255,0.18163444101810455,0.09732720255851746,0.13647377490997314,1.8852106933481991,boundary,0.3729706406593323,0.5029944181442261,0.1963534653186798,0.26874181628227234
0.40276845296223956,0.3896675109863281,0.38883209228515625,0.4298057556152344,24,DI-Weak,1024,0.1,64,0.17868144810199738,0.1708412766456604,0.14981944859027863,0.214096799492836,0.11015056818723679,0.1509840190410614,1.990848243702203,boundary,0.4184359908103943,0.5499187111854553,0.2254025638103485,0.2990981638431549
0.23986307779947916,0.22205352783203125,0.23251724243164062,0.2650184631347656,24,DI-Weak,1024,0.0,64,0.21998916566371918,0.2091207057237625,0.2619011104106903,0.4379715025424957,0.2230992317199707,0.295852392911911,3.3023496876703575,out-of-prior,0.935077965259552,1.2394014596939087,0.49904024600982666,0.6644052267074585
0.2369232177734375,0.22139739990234375,0.22959518432617188,0.2597770690917969,24,DI-Weak,1024,0.02,64,0.22102229297161102,0.2099837362766266,0.26167863607406616,0.4383239150047302,0.22353233397006989,0.29589906334877014,3.2914503815118223,out-of-prior,0.9371702671051025,1.2395105361938477,0.5006716847419739,0.6646170616149902
0.23104095458984375,0.21702194213867188,0.224761962890625,0.2513389587402344,24,DI-Weak,1024,0.05,64,0.22323890030384064,0.2120262086391449,0.26480329036712646,0.4410075545310974,0.22585079073905945,0.29789209365844727,3.2908827076898888,out-of-prior,0.9455152153968811,1.2441520690917969,0.5064156651496887,0.6679298281669617
0.22063191731770834,0.20932769775390625,0.21379852294921875,0.23876953125,24,DI-Weak,1024,0.1,64,0.22976727783679962,0.21789617836475372,0.2815772593021393,0.4571303427219391,0.22882705926895142,0.29861152172088623,3.247786164516583,out-of-prior,0.9571372270584106,1.2443196773529053,0.512908935546875,0.668725311756134
