coverage_mean,coverage_rho,coverage_vp,coverage_vs,method,nominal_percent,scale_label,temperature_scale,test_set
0.4644686281681061,0.449310302734375,0.4477958679199219,0.49629974365234375,DI-Strong,50.0,raw,1.0,in-prior
0.6311429142951965,0.6169548034667969,0.6166114807128906,0.6598625183105469,DI-Strong,68.0,raw,1.0,in-prior
0.8420537114143372,0.8362388610839844,0.8362236022949219,0.85369873046875,DI-Strong,90.0,raw,1.0,in-prior
0.5087496638298035,0.4934349060058594,0.4925994873046875,0.5402145385742188,DI-Strong,50.0,temperature_scaled,1.1143370271893218,in-prior
0.6808421015739441,0.6683578491210938,0.6677627563476562,0.7064056396484375,DI-Strong,68.0,temperature_scaled,1.1143370271893218,in-prior
0.8801981806755066,0.8758544921875,0.8758201599121094,0.8889198303222656,DI-Strong,90.0,temperature_scaled,1.1143370271893218,in-prior
0.16293461620807648,0.16180038452148438,0.14836502075195312,0.17863845825195312,DI-Strong,50.0,raw,1.0,boundary
0.23640696704387665,0.238037109375,0.2165679931640625,0.25461578369140625,DI-Strong,68.0,raw,1.0,boundary
0.3732350766658783,0.388916015625,0.3458595275878906,0.3849296569824219,DI-Strong,90.0,raw,1.0,boundary
0.4925028383731842,0.5284042358398438,0.46071624755859375,0.4883880615234375,DI-Strong,50.0,temperature_scaled,3.1604708434897475,boundary
0.6832199096679688,0.7504119873046875,0.6431350708007812,0.6561126708984375,DI-Strong,68.0,temperature_scaled,3.1604708434897475,boundary
0.9118130803108215,0.9686813354492188,0.8818626403808594,0.8848953247070312,DI-Strong,90.0,temperature_scaled,3.1604708434897475,boundary
0.0966440811753273,0.09883880615234375,0.09487152099609375,0.096221923828125,DI-Strong,50.0,raw,1.0,out-of-prior
0.1384226530790329,0.144012451171875,0.13519287109375,0.1360626220703125,DI-Strong,68.0,raw,1.0,out-of-prior
0.21181106567382812,0.22650909423828125,0.2055816650390625,0.20334243774414062,DI-Strong,90.0,raw,1.0,out-of-prior
0.43885549902915955,0.5358657836914062,0.4007606506347656,0.3799400329589844,DI-Strong,50.0,temperature_scaled,4.584499597593094,out-of-prior
0.675085723400116,0.8123703002929688,0.6289253234863281,0.5839614868164062,DI-Strong,68.0,temperature_scaled,4.584499597593094,out-of-prior
0.9113909602165222,0.9861717224121094,0.8923377990722656,0.8556632995605469,DI-Strong,90.0,temperature_scaled,4.584499597593094,out-of-prior
0.43640008568763733,0.2652702331542969,0.4276008605957031,0.6163291931152344,DI-Weak,50.0,raw,1.0,in-prior
0.5800959467887878,0.3717460632324219,0.5878105163574219,0.780731201171875,DI-Weak,68.0,raw,1.0,in-prior
0.7571678161621094,0.5324440002441406,0.8079261779785156,0.9311332702636719,DI-Weak,90.0,raw,1.0,in-prior
0.5365333557128906,0.33910369873046875,0.5388641357421875,0.7316322326660156,DI-Weak,50.0,temperature_scaled,1.3162832857342437,in-prior
0.6847851872444153,0.46210479736328125,0.7147483825683594,0.87750244140625,DI-Weak,68.0,temperature_scaled,1.3162832857342437,in-prior
0.8318468928337097,0.6212654113769531,0.9029769897460938,0.9712982177734375,DI-Weak,90.0,temperature_scaled,1.3162832857342437,in-prior
0.35897064208984375,0.3271903991699219,0.3331489562988281,0.41657257080078125,DI-Weak,50.0,raw,1.0,boundary
0.48761114478111267,0.45500946044921875,0.4604949951171875,0.5473289489746094,DI-Weak,68.0,raw,1.0,boundary
0.6580759882926941,0.63092041015625,0.6340293884277344,0.7092781066894531,DI-Weak,90.0,raw,1.0,boundary
0.5394808650016785,0.5107078552246094,0.5137481689453125,0.5939865112304688,DI-Weak,50.0,temperature_scaled,1.6867197157116607,boundary
0.6793377995491028,0.65771484375,0.65557861328125,0.7247200012207031,DI-Weak,68.0,temperature_scaled,1.6867197157116607,boundary
0.8216031193733215,0.8105010986328125,0.8016433715820312,0.8526649475097656,DI-Weak,90.0,temperature_scaled,1.6867197157116607,boundary
0.17403030395507812,0.161407470703125,0.1678009033203125,0.19288253784179688,DI-Weak,50.0,raw,1.0,out-of-prior
0.24278385937213898,0.2265625,0.23532867431640625,0.2664604187011719,DI-Weak,68.0,raw,1.0,out-of-prior
0.35305532813072205,0.334136962890625,0.3442420959472656,0.3807868957519531,DI-Weak,90.0,raw,1.0,out-of-prior
0.5093790888786316,0.5185623168945312,0.4838752746582031,0.5256996154785156,DI-Weak,50.0,temperature_scaled,3.3353277445421554,out-of-prior
0.6720187067985535,0.6967201232910156,0.6406822204589844,0.6786537170410156,DI-Weak,68.0,temperature_scaled,3.3353277445421554,out-of-prior
0.8335711359977722,0.8413047790527344,0.8177108764648438,0.8416976928710938,DI-Weak,90.0,temperature_scaled,3.3353277445421554,out-of-prior
