channel,coverage_68,depth_max_km,depth_min_km,method,posterior_std_mean,scale_label,test_set
vp,0.5518554449081421,10.0,0.0,DI-Strong,0.41604575514793396,raw,out-of-prior
vs,0.5733398199081421,10.0,0.0,DI-Strong,0.22920925915241241,raw,out-of-prior
rho,0.4468750059604645,10.0,0.0,DI-Strong,0.12443642318248749,raw,out-of-prior
vp,0.17524413764476776,30.0,10.0,DI-Strong,0.39035335183143616,raw,out-of-prior
vs,0.15402832627296448,30.0,10.0,DI-Strong,0.1888420432806015,raw,out-of-prior
rho,0.21059569716453552,30.0,10.0,DI-Strong,0.0938306599855423,raw,out-of-prior
vp,0.13987630605697632,60.0,30.0,DI-Strong,0.4197678864002228,raw,out-of-prior
vs,0.14166666567325592,60.0,30.0,DI-Strong,0.1822519302368164,raw,out-of-prior
rho,0.1827799528837204,60.0,30.0,DI-Strong,0.13363529741764069,raw,out-of-prior
vp,0.04117431491613388,100.0,60.0,DI-Strong,0.36741724610328674,raw,out-of-prior
vs,0.05731201171875,100.0,60.0,DI-Strong,0.17029336094856262,raw,out-of-prior
rho,0.04310302808880806,100.0,60.0,DI-Strong,0.1324295699596405,raw,out-of-prior
vp,0.0870710089802742,128.0,100.0,DI-Strong,0.39115574955940247,raw,out-of-prior
vs,0.0735560804605484,128.0,100.0,DI-Strong,0.1790686398744583,raw,out-of-prior
rho,0.0909075066447258,128.0,100.0,DI-Strong,0.14624735713005066,raw,out-of-prior
vp,0.987548828125,10.0,0.0,DI-Strong,1.907361626625061,temperature_scaled,out-of-prior
vs,0.983642578125,10.0,0.0,DI-Strong,1.0508097410202026,temperature_scaled,out-of-prior
rho,0.9737304449081421,10.0,0.0,DI-Strong,0.5704787969589233,temperature_scaled,out-of-prior
vp,0.6297607421875,30.0,10.0,DI-Strong,1.7895748615264893,temperature_scaled,out-of-prior
vs,0.5615234375,30.0,10.0,DI-Strong,0.8657463192939758,temperature_scaled,out-of-prior
rho,0.8257080316543579,30.0,10.0,DI-Strong,0.430166631937027,temperature_scaled,out-of-prior
vp,0.7372721433639526,60.0,30.0,DI-Strong,1.924425721168518,temperature_scaled,out-of-prior
vs,0.5849934816360474,60.0,30.0,DI-Strong,0.8355339169502258,temperature_scaled,out-of-prior
rho,0.958740234375,60.0,30.0,DI-Strong,0.612650990486145,temperature_scaled,out-of-prior
vp,0.5250610113143921,100.0,60.0,DI-Strong,1.6844241619110107,temperature_scaled,out-of-prior
vs,0.542651355266571,100.0,60.0,DI-Strong,0.7807098627090454,temperature_scaled,out-of-prior
rho,0.721691906452179,100.0,60.0,DI-Strong,0.6071233749389648,temperature_scaled,out-of-prior
vp,0.5325404405593872,128.0,100.0,DI-Strong,1.7932535409927368,temperature_scaled,out-of-prior
vs,0.5151541829109192,128.0,100.0,DI-Strong,0.8209401369094849,temperature_scaled,out-of-prior
rho,0.7179303765296936,128.0,100.0,DI-Strong,0.6704710721969604,temperature_scaled,out-of-prior
vp,0.504150390625,10.0,0.0,DI-Weak,0.5303758382797241,raw,in-prior
vs,0.5872558355331421,10.0,0.0,DI-Weak,0.34284406900405884,raw,in-prior
rho,0.500292956829071,10.0,0.0,DI-Weak,0.10190267860889435,raw,in-prior
vp,0.624755859375,30.0,10.0,DI-Weak,0.39566245675086975,raw,in-prior
vs,0.786938488483429,30.0,10.0,DI-Weak,0.2514314651489258,raw,in-prior
rho,0.5984131097793579,30.0,10.0,DI-Weak,0.10086202621459961,raw,in-prior
vp,0.5708170533180237,60.0,30.0,DI-Weak,0.36164936423301697,raw,in-prior
vs,0.8099283576011658,60.0,30.0,DI-Weak,0.21970558166503906,raw,in-prior
rho,0.448974609375,60.0,30.0,DI-Weak,0.10772284120321274,raw,in-prior
vp,0.581225574016571,100.0,60.0,DI-Weak,0.2631310820579529,raw,in-prior
vs,0.748583972454071,100.0,60.0,DI-Weak,0.14835357666015625,raw,in-prior
rho,0.28516846895217896,100.0,60.0,DI-Weak,0.060838229954242706,raw,in-prior
vp,0.6189139485359192,128.0,100.0,DI-Weak,0.3101811707019806,raw,in-prior
vs,0.8600376844406128,128.0,100.0,DI-Weak,0.17097796499729156,raw,in-prior
rho,0.2048688679933548,128.0,100.0,DI-Weak,0.05228534713387489,raw,in-prior
vp,0.615771472454071,10.0,0.0,DI-Weak,0.698124885559082,temperature_scaled,in-prior
vs,0.708544909954071,10.0,0.0,DI-Weak,0.4512799382209778,temperature_scaled,in-prior
rho,0.60498046875,10.0,0.0,DI-Weak,0.13413280248641968,temperature_scaled,in-prior
vp,0.7450927495956421,30.0,10.0,DI-Weak,0.5208038687705994,temperature_scaled,in-prior
vs,0.8793700933456421,30.0,10.0,DI-Weak,0.33095505833625793,temperature_scaled,in-prior
rho,0.71826171875,30.0,10.0,DI-Weak,0.13276299834251404,temperature_scaled,in-prior
vp,0.7014811038970947,60.0,30.0,DI-Weak,0.4760330319404602,temperature_scaled,in-prior
vs,0.8963378667831421,60.0,30.0,DI-Weak,0.2891947627067566,temperature_scaled,in-prior
rho,0.5674641728401184,60.0,30.0,DI-Weak,0.14179377257823944,temperature_scaled,in-prior
vp,0.7069457769393921,100.0,60.0,DI-Weak,0.34635502099990845,temperature_scaled,in-prior
vs,0.8600829839706421,100.0,60.0,DI-Weak,0.19527532160282135,temperature_scaled,in-prior
