bin_left,bin_right,count,method,scale_label,test_set
0.4,0.45,7308,DI-Strong,raw,out-of-prior
0.45,0.5,6889,DI-Strong,raw,out-of-prior
0.5,0.55,8919,DI-Strong,raw,out-of-prior
0.55,0.6000000000000001,6908,DI-Strong,raw,out-of-prior
0.6000000000000001,0.65,6778,DI-Strong,raw,out-of-prior
0.65,0.7000000000000001,6952,DI-Strong,raw,out-of-prior
0.7000000000000001,0.75,7082,DI-Strong,raw,out-of-prior
0.75,0.8,9993,DI-Strong,raw,out-of-prior
0.8,0.8500000000000001,7835,DI-Strong,raw,out-of-prior
0.8500000000000001,0.9,8765,DI-Strong,raw,out-of-prior
0.9,0.9500000000000001,10182,DI-Strong,raw,out-of-prior
0.9500000000000001,1.0,45048,DI-Strong,raw,out-of-prior
0.0,0.05,66225,DI-Strong,temperature_scaled,out-of-prior
0.05,0.1,70217,DI-Strong,temperature_scaled,out-of-prior
0.1,0.15000000000000002,81650,DI-Strong,temperature_scaled,out-of-prior
0.15000000000000002,0.2,92144,DI-Strong,temperature_scaled,out-of-prior
0.2,0.25,92424,DI-Strong,temperature_scaled,out-of-prior
0.25,0.30000000000000004,101938,DI-Strong,temperature_scaled,out-of-prior
0.30000000000000004,0.35000000000000003,52613,DI-Strong,temperature_scaled,out-of-prior
0.35000000000000003,0.4,39621,DI-Strong,temperature_scaled,out-of-prior
0.4,0.45,34078,DI-Strong,temperature_scaled,out-of-prior
0.45,0.5,32947,DI-Strong,temperature_scaled,out-of-prior
0.5,0.55,39082,DI-Strong,temperature_scaled,out-of-prior
0.55,0.6000000000000001,23332,DI-Strong,temperature_scaled,out-of-prior
0.6000000000000001,0.65,18479,DI-Strong,temperature_scaled,out-of-prior
0.65,0.7000000000000001,13601,DI-Strong,temperature_scaled,out-of-prior
0.7000000000000001,0.75,10560,DI-Strong,temperature_scaled,out-of-prior
0.75,0.8,9218,DI-Strong,temperature_scaled,out-of-prior
0.8,0.8500000000000001,3962,DI-Strong,temperature_scaled,out-of-prior
0.8500000000000001,0.9,2260,DI-Strong,temperature_scaled,out-of-prior
0.9,0.9500000000000001,1340,DI-Strong,temperature_scaled,out-of-prior
0.9500000000000001,1.0,741,DI-Strong,temperature_scaled,out-of-prior
0.0,0.05,46434,DI-Weak,raw,in-prior
0.05,0.1,27606,DI-Weak,raw,in-prior
0.1,0.15000000000000002,28170,DI-Weak,raw,in-prior
0.15000000000000002,0.2,29238,DI-Weak,raw,in-prior
0.2,0.25,30136,DI-Weak,raw,in-prior
0.25,0.30000000000000004,42301,DI-Weak,raw,in-prior
0.30000000000000004,0.35000000000000003,33408,DI-Weak,raw,in-prior
0.35000000000000003,0.4,33399,DI-Weak,raw,in-prior
0.4,0.45,33916,DI-Weak,raw,in-prior
0.45,0.5,33690,DI-Weak,raw,in-prior
0.5,0.55,45309,DI-Weak,raw,in-prior
0.55,0.6000000000000001,33217,DI-Weak,raw,in-prior
0.6000000000000001,0.65,31590,DI-Weak,raw,in-prior
0.65,0.7000000000000001,31229,DI-Weak,raw,in-prior
0.7000000000000001,0.75,30225,DI-Weak,raw,in-prior
0.75,0.8,39745,DI-Weak,raw,in-prior
0.8,0.8500000000000001,30586,DI-Weak,raw,in-prior
0.8500000000000001,0.9,31719,DI-Weak,raw,in-prior
0.9,0.9500000000000001,32727,DI-Weak,raw,in-prior
0.9500000000000001,1.0,141787,DI-Weak,raw,in-prior
0.0,0.05,22480,DI-Weak,temperature_scaled,in-prior
0.05,0.1,18890,DI-Weak,temperature_scaled,in-prior
0.1,0.15000000000000002,22548,DI-Weak,temperature_scaled,in-prior
0.15000000000000002,0.2,26794,DI-Weak,temperature_scaled,in-prior
0.2,0.25,30715,DI-Weak,temperature_scaled,in-prior
0.25,0.30000000000000004,46115,DI-Weak,temperature_scaled,in-prior
0.30000000000000004,0.35000000000000003,38898,DI-Weak,temperature_scaled,in-prior
0.35000000000000003,0.4,41803,DI-Weak,temperature_scaled,in-prior
0.4,0.45,44156,DI-Weak,temperature_scaled,in-prior
0.45,0.5,44182,DI-Weak,temperature_scaled,in-prior
0.5,0.55,59255,DI-Weak,temperature_scaled,in-prior
0.55,0.6000000000000001,41702,DI-Weak,temperature_scaled,in-prior
0.6000000000000001,0.65,39414,DI-Weak,temperature_scaled,in-prior
0.65,0.7000000000000001,36903,DI-Weak,temperature_scaled,in-prior
0.7000000000000001,0.75,34637,DI-Weak,temperature_scaled,in-prior
0.75,0.8,43619,DI-Weak,temperature_scaled,in-prior
0.8,0.8500000000000001,30350,DI-Weak,temperature_scaled,in-prior
0.8500000000000001,0.9,28049,DI-Weak,temperature_scaled,in-prior
0.9,0.9500000000000001,28124,DI-Weak,temperature_scaled,in-prior
0.9500000000000001,1.0,107798,DI-Weak,temperature_scaled,in-prior
0.0,0.05,220812,DI-Weak,raw,boundary
0.05,0.1,38349,DI-Weak,raw,boundary
0.1,0.15000000000000002,33600,DI-Weak,raw,boundary
0.15000000000000002,0.2,30558,DI-Weak,raw,boundary
0.2,0.25,29778,DI-Weak,raw,boundary
0.25,0.30000000000000004,38573,DI-Weak,raw,boundary
0.30000000000000004,0.35000000000000003,28112,DI-Weak,raw,boundary
0.35000000000000003,0.4,27768,DI-Weak,raw,boundary
0.4,0.45,27627,DI-Weak,raw,boundary
0.45,0.5,27373,DI-Weak,raw,boundary
0.5,0.55,35330,DI-Weak,raw,boundary
