depth_km,n_matched,spatial_correlation,vs_difference_mae_km_s,vs_difference_mean_km_s,vs_difference_rmse_km_s
2.0,150,0.13902762671036584,0.3098170666666667,-0.3042937333333333,0.342833272239826
5.0,150,0.4328320762943897,0.21434493333333332,-0.2036716,0.23985534873057693
10.0,150,0.5903237669597514,0.17398273333333336,-0.14499606666666665,0.20051258222365997
20.0,150,0.32269988896167867,0.27350006666666665,-0.27331873333333334,0.2914369459111182
40.0,150,0.880853877016211,0.36117433333333326,-0.3603864666666666,0.37399381698721523
60.0,150,0.799073744764735,0.0831906,-0.08273046666666665,0.0946889776443559
80.0,150,-0.10132820784882285,0.049432133333333336,-0.04094253333333332,0.06271076754965345
100.0,150,0.5460904227381803,0.026659666666666665,0.015464999999999982,0.033330472893934975
