depth_km,n_periods_used_mean,n_subarrays,posterior_std_mean,vs_median_max,vs_median_mean,vs_median_min,vs_median_std_spatial
2.0,39.0,150,0.45834233333333335,3.17051,2.7985684,2.53792,0.11370854174939247
5.0,39.0,150,0.3269992,3.51377,2.9816870000000004,2.76545,0.11859193878028416
10.0,39.0,150,0.37771853333333333,3.66343,3.166786866666667,2.86131,0.1672903081358338
20.0,39.0,150,0.30239286666666665,4.18386,3.8057280666666666,3.52613,0.0845157157353721
40.0,39.0,150,0.18247446666666667,4.6224,3.116203333333334,2.89979,0.2103037279861888
60.0,39.0,150,0.05658733333333333,3.77902,3.274682733333333,3.21888,0.04885871493598206
80.0,39.0,150,0.0235802,3.55676,3.5190448,3.48151,0.008331838350168189
100.0,39.0,150,0.023084466666666668,3.63302,3.5607558000000004,3.53754,0.013339651333274555
