method,test_set,n,runtime_s,rho_mae,rho_rmse,coverage_16_84,gravity_mae_mgal,gravity_rmse_mgal,target_outside_fraction,pred_inside_given_target_outside,rho_roughness,indirect_spread_mean
DI-Strong,in-prior,96,0.01093292236328125,0.09213598817586899,0.12173161655664444,0.0628662109375,0.2136789709329605,0.2928857207298279,0.019816080729166668,0.6119096509240246,0.001343877287581563,
DI-Weak,in-prior,96,0.006651163101196289,0.1559649556875229,0.19582752883434296,0.09464518229166667,0.2774302065372467,0.4987526535987854,0.019816080729166668,0.5667351129363449,0.0008377539925277233,
IND-FWD,in-prior,30,39.51458287239075,0.16883748769760132,0.22338339686393738,0.4309895833333333,0.4630393087863922,1.8020367622375488,0.025,0.96875,0.0055765719152987,0.177511528134346
DI-Strong,boundary,96,0.006804943084716797,0.07934992760419846,0.1039653792977333,0.0975341796875,0.2580110430717468,0.47530096769332886,0.09574381510416667,0.5040373990650234,0.0012556606670841575,
DI-Weak,boundary,96,0.008850812911987305,0.09858832508325577,0.13012759387493134,0.12418619791666667,0.21989013254642487,0.318279504776001,0.09574381510416667,0.4755631109222269,0.000515167776029557,
IND-FWD,boundary,30,39.66834783554077,0.18230514228343964,0.2382599115371704,0.6458333333333334,0.3930669128894806,0.9223381280899048,0.090234375,0.5959595959595959,0.006496882066130638,0.19453738629817963
DI-Strong,out-of-prior,96,0.0061800479888916016,0.10048862546682358,0.13203701376914978,0.1112060546875,0.2682662308216095,0.48261013627052307,0.3155517578125,0.37059961315280465,0.0017976575763896108,
DI-Weak,out-of-prior,96,0.006228923797607422,0.13135719299316406,0.16686229407787323,0.1092529296875,0.3056226372718811,0.6418902277946472,0.3155517578125,0.2362346872985171,0.0007905104430392385,
IND-FWD,out-of-prior,30,39.42581510543823,0.18045824766159058,0.23867759108543396,0.5751302083333333,0.4908280372619629,1.3726445436477661,0.339453125,0.365554276946682,0.00567050464451313,0.20240840315818787
