coverage_16_84_mean,coverage_vs,euler_steps,method,n,posterior_samples,posterior_std_mean,posterior_std_vs,pred_disp_mae,runtime_s,test_set,vs_mae
0.5181477864583334,0.70037841796875,12,DI-Weak,128,16,0.1882002353668213,0.18433357775211334,0.055443186312913895,2.9008090496063232,in-prior,0.1349276453256607
0.5326436360677084,0.72491455078125,24,DI-Weak,128,16,0.19346535205841064,0.1896756887435913,0.0512051023542881,2.688910961151123,in-prior,0.13427422940731049
0.5426432291666666,0.73089599609375,48,DI-Weak,128,16,0.19737915694713593,0.19356828927993774,0.052923962473869324,3.4251761436462402,in-prior,0.13581591844558716
0.548095703125,0.741302490234375,12,DI-Weak,128,32,0.19184385240077972,0.18798846006393433,0.04832705482840538,4.6233508586883545,in-prior,0.1310485601425171
0.558746337890625,0.751251220703125,24,DI-Weak,128,32,0.2001861333847046,0.1959250271320343,0.04747023433446884,5.4207141399383545,in-prior,0.13147768378257751
0.571533203125,0.768035888671875,48,DI-Weak,128,32,0.2043484002351761,0.20016877353191376,0.05050553008913994,6.598768949508667,in-prior,0.13285470008850098
0.56024169921875,0.7596435546875,12,DI-Weak,128,64,0.19337797164916992,0.1894729882478714,0.04746166244149208,8.769819021224976,in-prior,0.13056203722953796
0.577362060546875,0.7799072265625,24,DI-Weak,128,64,0.20052967965602875,0.19646073877811432,0.047838617116212845,10.659339904785156,in-prior,0.12838958203792572
0.5864054361979166,0.790924072265625,48,DI-Weak,128,64,0.2070593684911728,0.20276032388210297,0.04780031740665436,12.687618017196655,in-prior,0.12861113250255585
0.5725606282552084,0.77679443359375,12,DI-Weak,128,128,0.19516237080097198,0.19120143353939056,0.04790038242936134,18.307910203933716,in-prior,0.12762762606143951
0.58331298828125,0.786529541015625,24,DI-Weak,128,128,0.2020430713891983,0.19783219695091248,0.04911481961607933,23.53706693649292,in-prior,0.12795566022396088
0.5907491048177084,0.792388916015625,48,DI-Weak,128,128,0.2064439058303833,0.20234079658985138,0.047412656247615814,31.234698057174683,in-prior,0.1279088258743286
0.4380594889322917,0.469696044921875,12,DI-Weak,128,16,0.14226192235946655,0.1371137946844101,0.09637081623077393,2.541901111602783,boundary,0.16617855429649353
0.4475504557291667,0.487213134765625,24,DI-Weak,128,16,0.14613895118236542,0.1407986432313919,0.09750927984714508,2.983167886734009,boundary,0.16612675786018372
0.4619649251302083,0.505584716796875,48,DI-Weak,128,16,0.15044446289539337,0.1452929824590683,0.09943092614412308,3.6580209732055664,boundary,0.16766656935214996
0.4617716471354167,0.50482177734375,12,DI-Weak,128,32,0.14395831525325775,0.13894225656986237,0.09606539458036423,5.471951723098755,boundary,0.16548794507980347
0.4768880208333333,0.5277099609375,24,DI-Weak,128,32,0.14962758123874664,0.14428381621837616,0.09615299850702286,6.157644987106323,boundary,0.16185157001018524
0.48345947265625,0.526947021484375,48,DI-Weak,128,32,0.15418586134910583,0.14868700504302979,0.09733359515666962,7.406061172485352,boundary,0.16630762815475464
0.4761759440104167,0.5238037109375,12,DI-Weak,128,64,0.14649181067943573,0.14133016765117645,0.09546218812465668,11.36730432510376,boundary,0.16294240951538086
0.4925435384114583,0.5364990234375,24,DI-Weak,128,64,0.1521732360124588,0.14679014682769775,0.09643905609846115,16.975773096084595,boundary,0.16358862817287445
0.4965718587239583,0.540069580078125,48,DI-Weak,128,64,0.15531408786773682,0.14978525042533875,0.097419373691082,14.860540866851807,boundary,0.16244390606880188
0.4812215169270833,0.533599853515625,12,DI-Weak,128,128,0.147270068526268,0.14200296998023987,0.09494621306657791,22.134093046188354,boundary,0.16087990999221802
0.4962972005208333,0.544921875,24,DI-Weak,128,128,0.1532009094953537,0.14781245589256287,0.09619465470314026,25.44065260887146,boundary,0.16209053993225098
0.50433349609375,0.5501708984375,48,DI-Weak,128,128,0.15604689717292786,0.15042921900749207,0.09622687846422195,28.437160968780518,boundary,0.1618342250585556
